Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,4,1,29.5,4.3,8.5,0.5,1,2.3,0.444,3.3,6.3,0.52,0.559,0.8,1.5,0.5,1.8,3.3,5,1.3,0.3,0.5,2,1.8,10.3
2,Steven Adams,C,28,MEM,3,2,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,1.7,1.3,0,0,0.3,2.3,0
3,Bam Adebayo,C,24,MIA,3,3,28.7,3,6.7,0.45,0,0,0,3,6.7,0.45,0.45,3.3,3.7,0.909,1,6,7,4.3,1.3,0.7,3.7,2.7,9.3
4,Grayson Allen,SG,26,MIL,3,0,21.7,3,6,0.5,1.7,3.7,0.455,1.3,2.3,0.571,0.639,0.7,1,0.667,0.3,3,3.3,0.3,0.3,0.7,0.3,1.7,8.3
5,Jose Alvarado,PG,23,NOP,3,0,16,2.7,4.3,0.615,1.3,2,0.667,1.3,2.3,0.571,0.769,0,0,0,0,0.7,0.7,1.3,0.3,0.3,1,2.7,6.7
6,Kyle Anderson,PF,28,MEM,4,1,22,1.8,3.5,0.5,0,0.5,0,1.8,3,0.583,0.5,1,1.3,0.8,1,3.8,4.8,2,0.8,0.3,0.3,2,4.5
7,Giannis Antetokounmpo,PF,27,MIL,3,3,34.3,9.3,17,0.549,0.3,3,0.111,9,14,0.643,0.559,7,11.3,0.618,2,11.7,13.7,7,0.3,1.7,4,3.7,26
8,Thanasis Antetokounmpo,SF,29,MIL,1,0,9,2,3,0.667,0,0,0,2,3,0.667,0.667,0,1,0,0,0,0,1,1,0,0,3,4
9,OG Anunoby,SF,24,TOR,4,4,37,7.5,15,0.5,2.8,7,0.393,4.8,8,0.594,0.592,3,4,0.75,1.8,2.8,4.5,2.8,0.8,0.3,1.8,3.5,20.8
10,Deandre Ayton,C,23,PHO,3,3,34,9,13.7,0.659,0.7,0.7,1,8.3,13,0.641,0.683,1,1,1,2.3,9.3,11.7,2.3,1,1.7,0.7,3,19.7
11,Desmond Bane,SF,23,MEM,4,4,35,7.5,15.5,0.484,4.8,9.8,0.487,2.8,5.8,0.478,0.637,3.5,4,0.875,0,3.8,3.8,2.8,0.5,0.8,1,1.8,23.3
12,Dalano Banton,SF,22,TOR,2,0,2,0.5,0.5,1,0,0,0,0.5,0.5,1,1,1,1.5,0.667,0,0,0,0.5,0.5,0,0.5,0,2
13,Scottie Barnes,PF,20,TOR,2,1,28.5,2.5,6,0.417,0,2,0,2.5,4,0.625,0.417,5.5,7,0.786,1,9.5,10.5,5,0,0.5,1,2,10.5
14,Will Barton,SG,31,DEN,3,3,33.3,6.7,15.3,0.435,2.3,5.7,0.412,4.3,9.7,0.448,0.511,0.7,0.7,1,1.3,5.3,6.7,4,0.7,0.3,2.3,1.7,16.3
